iter	RMSE
231	0.2192175261
232	0.2188801939
233	0.2178234403
234	0.2176067407
235	0.2166893757
236	0.2165535803
237	0.2161247019
238	0.2156042186
239	0.2150298698
240	0.2148372085
241	0.2145117491
242	0.2139575079
243	0.2127467408
244	0.2125474616
245	0.2121861055
246	0.2119986321
247	0.211902273
248	0.2118303663
249	0.2108400138
250	0.2099215833
251	0.2095080165
252	0.2093761681
253	0.209235468
254	0.2084696811
255	0.2081462301
256	0.2074158353
257	0.2071376
258	0.2069908166
259	0.2062937454
260	0.2057907765
261	0.2045786042
262	0.2042788688
263	0.2037669868
264	0.2036424568
265	0.2030436774
266	0.202428051
267	0.2013515225
268	0.2011808388
269	0.2002382506
270	0.1998841819
271	0.199141089
272	0.1984624732
273	0.1972989572
274	0.1970843932
275	0.1968925493
276	0.196699358
277	0.1965081071
278	0.1959378459
279	0.1956401957
280	0.1950011941
281	0.1948020054
282	0.1945236672
283	0.1937667155
284	0.1926481293
285	0.1922016564
286	0.1920031069
287	0.1918550404
288	0.1911188161
289	0.1905793154
290	0.1894999464
291	0.1891819363
292	0.1885815395
293	0.1884864665
294	0.1880377987
295	0.187964694
296	0.1878512916
297	0.1875406674
298	0.1873368136
299	0.1870836591
300	0.1869811563
301	0.1859657458
302	0.1844704568
303	0.1837611377
304	0.1833500194
305	0.1830476014
306	0.1821121213
307	0.1814769204
308	0.1814452206
309	0.1808527314
310	0.1806511493
311	0.1804694848
312	0.1801799236
313	0.1801309877
314	0.1794848544
315	0.1793961331
316	0.179079311
317	0.1783089031
318	0.1781788439
319	0.1778984923
320	0.177545589
321	0.1774219815
322	0.1768962736
323	0.1765160075
324	0.1762486812
325	0.1755575312
326	0.1752355293
327	0.1749946783
328	0.1739584177
329	0.1731091899
330	0.1726237693
331	0.1725933275
332	0.1723597913
333	0.1722330656
334	0.1721903447
335	0.1720849669
336	0.1719376381
337	0.1716567369
338	0.1706722726
339	0.1704710911
340	0.1703984843
341	0.1702854289
342	0.1691720069
343	0.1689608617
344	0.1688886684
345	0.1687557777
346	0.1685234949
347	0.1681887067
348	0.1679117966
349	0.1675355711
350	0.167444228
351	0.166914544
352	0.1668086649
353	0.1661434192
354	0.1652050119
355	0.1649017793
356	0.1648693224
357	0.1646076961
358	0.1644739999
359	0.1639475976
360	0.1636283001
361	0.1634553987
362	0.1629838195
363	0.1628932598
364	0.1619937399
365	0.1616739523
366	0.1615478564
367	0.1614132095
368	0.1611363932
369	0.1606987569
370	0.1605505576
371	0.1600422284
372	0.1598501
373	0.1596760532
374	0.1596293104
375	0.1593155069
376	0.1591679208
377	0.1587728047
378	0.1581368714
379	0.1579463136
380	0.1575187882
381	0.1571803571
382	0.1569834689
383	0.1569058668
384	0.1565674392
385	0.1561383605
386	0.1560210512
387	0.1559422202
388	0.1555438426
389	0.1553973536
390	0.1552883718
391	0.1551048531
392	0.1547087312
393	0.1546057118
394	0.154212651
395	0.1541459589
396	0.1537137979
397	0.1531301245
398	0.1530611845
399	0.1527649642
400	0.1526385027
401	0.152328912
402	0.152279697
403	0.1520044018
404	0.151564725
405	0.1512794667
406	0.1511905326
407	0.1509578815
408	0.1503707067
409	0.1501025153
410	0.1499633373
411	0.1498913542
412	0.1496319291
413	0.1492922036
414	0.1489811077
415	0.1483190255
416	0.1481886948
417	0.1478367975
418	0.1476590328
419	0.1475894507
420	0.1472183481
421	0.1470651762
422	0.1465549892
423	0.1464307342
424	0.1460447139
425	0.1459586032
426	0.1457375693
427	0.145361487
428	0.1451962136
429	0.1449532621
430	0.1446092574
431	0.1439308566
432	0.1432887243
433	0.1428704127
434	0.142461471
435	0.1423966738
436	0.1420644599
437	0.1419500693
438	0.141631942
439	0.1415614635
440	0.1415157928
441	0.1414002429
442	0.1411060721
443	0.1409062647
444	0.1404042488
445	0.1401171164
446	0.1396555819
447	0.1395628543
448	0.1394315597
449	0.1392104733
450	0.1386253067
451	0.1382796953
452	0.137641651
453	0.1373888277
454	0.1371811226
455	0.1368525489
456	0.1364928578
457	0.1362259516
458	0.1359109423
459	0.1353229235
460	0.1351247048
461	0.1349686426
462	0.1347713344
463	0.1345269822
464	0.1342977522
465	0.1340380135
466	0.1337077443
467	0.1333562497
468	0.1332462311
469	0.1329848231
470	0.1327170838
471	0.1325766379
472	0.13231807
473	0.1321035696
474	0.1318752955
475	0.1316622058
476	0.1308359814
477	0.1305935747
478	0.1304736374
479	0.1304230917
480	0.1303116151
481	0.1301592909
482	0.1298920102
483	0.1298303424
484	0.1297117569
485	0.1296647763
486	0.1293920388
487	0.1293423173
488	0.129247178
489	0.1287127609
490	0.1285350372
491	0.1282051572
492	0.1278535411
493	0.1277373099
494	0.1271294318
495	0.1266346245
496	0.1255595875
497	0.1252660065
498	0.1250078432
499	0.1249725468
500	0.12466304
501	0.1245784045
502	0.1245288821
503	0.1243541886
504	0.1238705106
505	0.1237759152
506	0.1235438667
507	0.123436145
508	0.1231004418
509	0.1228095243
510	0.1227069837
511	0.1225308238
512	0.1224928016
513	0.12151929
514	0.1212873139
515	0.1205692169
516	0.1204688032
517	0.1203908193
518	0.1198116338
519	0.1197613003
520	0.1195024145
521	0.1193682823
522	0.1191637225
523	0.1190927694
524	0.11900824
525	0.1188844719
526	0.1185588187
527	0.1184984803
528	0.118444901
529	0.1183857561
530	0.1183320044
531	0.1183038743
532	0.1182919193
533	0.1182676309
534	0.1180795014
535	0.1172786574
536	0.1172154327
537	0.1171224663
538	0.117097053
539	0.1170661501
540	0.1170287773
541	0.1168987637
542	0.1165633774
543	0.1164828909
544	0.1162392234
545	0.1162307063
546	0.1161637267
547	0.1161352113
548	0.1154598828
549	0.1154228702
550	0.1152875336
551	0.1151878956
552	0.1150555779
553	0.11493461
554	0.1143963551
555	0.1143197025
556	0.1142840747
557	0.1139365638
558	0.1138374207
559	0.1135827847
560	0.113328252
561	0.1132070243
562	0.1126330592
563	0.1116936365
564	0.1115648011
565	0.1114009161
566	0.1110678067
567	0.1110069271
568	0.11094524
569	0.1108325767
570	0.1107232744
571	0.1106393081
572	0.1106092924
573	0.1097128464
574	0.109520701
575	0.1087745103
576	0.1087396189
577	0.1087302174
578	0.1086288715
579	0.1082592547
580	0.1082129722
581	0.1080219599
582	0.1077164777
583	0.1076393023
584	0.1072433935
585	0.1071688218
586	0.1069719188
587	0.106640756
588	0.1065742844
589	0.1065283597
590	0.1063791922
591	0.1063250039
592	0.1062713116
593	0.1062545588
594	0.1059410164
595	0.1058844691
596	0.1057308412
597	0.1055495203
598	0.1055172128
599	0.1047741797
600	0.1045419749
601	0.1045045197
602	0.10432633
603	0.1039829953
604	0.1038240036
605	0.1034428102
606	0.1031735316
607	0.1028310724
608	0.102757938
609	0.1024074686
610	0.1023441305
611	0.1022736865
612	0.1022116053
613	0.1021421463
614	0.1019480703
615	0.101836559
616	0.1017655899
617	0.1016832342
618	0.1016174843
619	0.1015067717
620	0.1012750028
621	0.1012364056
622	0.1011392473
623	0.1010651489
624	0.100984594
625	0.1007937188
626	0.1007456694
627	0.1006406249
628	0.1005427046
629	0.1004066986
630	0.1000917304
631	0.09991684286
632	0.09987829483
633	0.09967827442
634	0.09949738942
635	0.09931863236
636	0.09927416119
637	0.09922615795
638	0.09915711363
639	0.09910324693
640	0.09902342191
641	0.09893121664
642	0.0987220213
643	0.09857791987
644	0.09852849696
645	0.09850091834
646	0.09839741258
647	0.09831705159
648	0.0982310296
649	0.09811634602
650	0.09801358507
651	0.09793231
652	0.09780105025
653	0.09767806196
654	0.09760348545
655	0.09757552964
656	0.09738475448
657	0.09734472765
658	0.09715425439
659	0.09707696966
660	0.09699705745
661	0.09693739533
662	0.09686968938
663	0.09679138011
664	0.09663998323
665	0.09644210441
666	0.0963173275
667	0.09621385103
668	0.09616248521
669	0.09610140309
670	0.09603225057
671	0.09597449354
672	0.09592940163
673	0.09584160325
674	0.09567976311
675	0.09562679842
676	0.09554675825
677	0.09551105923
678	0.09542944769
679	0.09536389872
680	0.0953320895
681	0.09521769648
682	0.0951384296
683	0.09509237401
684	0.09505121289
685	0.0947199364
686	0.09463737766
687	0.09460148806
688	0.09451896583
689	0.09442661256
690	0.09408681291
691	0.09389987754
692	0.09378233643
693	0.09354599284
694	0.09350120849
695	0.09342833879
696	0.09336947393
697	0.09331899576
698	0.09328553511
699	0.09319628804
700	0.09306085341
701	0.09296634603
702	0.09282755758
703	0.09280907067
704	0.09279508719
705	0.09273160894
706	0.09264342662
707	0.09257310086
708	0.09255388829
709	0.09189370873
710	0.0918060469
711	0.09173720651
712	0.09171712429
713	0.09164819818
714	0.09163740865
715	0.09149193423
716	0.0913231145
717	0.09111954027
718	0.09101263124
719	0.09087791571
720	0.09086361874
721	0.09081138755
722	0.09072219895
723	0.0905342055
724	0.09039946732
725	0.09035825441
726	0.0899358665
727	0.08991769396
728	0.08982474492
729	0.08967139041
730	0.08955658159
731	0.08949305687
732	0.08937968878
733	0.08927667295
734	0.08925348488
735	0.08919284299
736	0.08904882154
737	0.08887613598
738	0.08860962013
739	0.0885089103
740	0.0884876825
741	0.08846314327
742	0.08835215589
743	0.08829614122
744	0.08813053506
745	0.08808818093
746	0.08792166682
747	0.08788678597
748	0.08781447946
749	0.08774349004
750	0.08770736751
751	0.087673253
752	0.08758787399
753	0.08753135923
754	0.08741064518
755	0.08736425375
756	0.08720465262
757	0.08707530032
758	0.08703096847
759	0.08698775802
760	0.0868755438
761	0.08681095642
762	0.08673615082
763	0.08664577221
764	0.08659227815
765	0.08653054794
766	0.08648280929
767	0.08630666438
768	0.0862469618
769	0.08619479717
770	0.08611458284
771	0.08610161521
772	0.08593363117
773	0.08586595959
774	0.08586298594
775	0.0858423031
776	0.08575504763
777	0.08570568949
778	0.08531908325
779	0.08528805284
780	0.08508736512
781	0.08507822138
782	0.08491327917
783	0.08488295952
784	0.08478459162
785	0.08464714786
786	0.08441031263
787	0.08431636988
788	0.08429080199
789	0.08421911338
790	0.08404104358
791	0.08394569443
792	0.08394372808
793	0.08390432065
794	0.08355613613
795	0.08352827292
796	0.08351071796
797	0.08344744096
798	0.08341824324
799	0.0833734832
